Tension,Alpha,Beta,Wv,Cv,Ytp1,V,Initial_heel_angle
75,20,-85,-20.576,-2.058,1.75,-2.058,2.886
75,20,-85,-18.004,0.514,1.75,0,3.245
75,20,-85,-10.288,-1.543,1.75,2.058,-1.648
75,20,-85,-5.144,1.029,0.6,-0.514,8.017
75,20,-85,5.144,-1.029,-0.65,1.543,3.523
75,20,-85,10.288,2.058,1.75,-1.029,13.894
75,20,-85,18.004,0,1.75,1.029,10.009
75,20,-75,-20.576,-2.058,0.6,-1.543,2.421
75,20,-75,-18.004,0.514,-0.65,0.514,2.764
75,20,-75,-10.288,-1.029,1.75,-2.058,6.66
75,20,-75,-5.144,1.543,1.75,0,7.913
75,20,-75,5.144,-0.514,0.6,2.058,3.42
75,20,-75,10.288,2.058,-0.65,-0.514,11.908
75,20,-75,18.004,0.514,1.75,1.543,9.699
75,20,-65,-20.576,-1.543,1.75,-1.029,2.034
75,20,-65,-18.004,1.029,0.6,1.029,2.39
75,20,-65,-10.288,-1.029,-0.65,-1.543,5.861
75,20,-65,-5.144,2.058,1.75,0.514,7.658
75,20,-65,5.144,0,1.75,-2.058,9.749
75,20,-65,15.432,-2.058,0.6,0,7.271
75,20,-65,18.004,0.514,0.6,2.058,8.507
75,20,-55,-20.576,-1.029,1.75,-0.514,1.553
75,20,-55,-18.004,1.543,1.75,1.543,1.925
75,20,-55,-10.288,-0.514,0.6,-1.029,5.271
75,20,-55,-5.144,2.058,0.6,1.029,6.277
75,20,-55,5.144,0.514,1.75,-1.543,9.386
75,20,-55,15.432,-1.543,1.75,0.514,6.852
75,20,-55,18.004,1.029,0.6,-2.058,16.921
75,20,-45,-20.576,-1.029,0.6,0,-0.633
75,20,-45,-18.004,1.543,-0.65,2.058,-1.033
75,20,-45,-10.288,0,1.75,-0.514,4.842
75,20,-45,0,-2.058,1.75,1.543,-0.98
75,20,-45,5.144,0.514,0.6,-1.029,6.566
75,20,-45,15.432,-1.543,-0.65,1.029,2.664
75,20,-45,18.004,1.543,1.75,-1.543,16.103
75,20,-35,-20.576,-0.514,1.75,0.514,-0.966
75,20,-35,-18.004,2.058,0.6,-2.058,9.931
75,20,-35,-10.288,0,-0.65,0,1.427
75,20,-35,0,-1.543,1.75,2.058,-2.064
75,20,-35,5.144,1.029,1.75,-0.514,6.42
75,20,-35,15.432,-1.029,0.6,1.543,2.505
75,20,-35,18.004,1.543,-0.65,-1.029,10.654
75,20,-25,-20.576,0,1.75,1.029,-2.179
75,20,-25,-15.432,-2.058,1.75,-1.543,1.371
75,20,-25,-10.288,0.514,0.6,0.514,1.407
75,20,-25,0,-1.543,-0.65,-2.058,1.87
75,20,-25,5.144,1.543,1.75,0,5.334
75,20,-25,15.432,-0.514,1.75,2.058,2.363
75,20,-25,18.004,2.058,0.6,-0.514,10.552
75,20,-15,-20.576,0,0.6,1.543,-5.063
75,20,-15,-15.432,-1.543,1.75,-1.029,0.295
75,20,-15,-10.288,1.029,1.75,1.029,1.339
75,20,-15,0,-1.029,0.6,-1.543,1.998
75,20,-15,5.144,1.543,0.6,0.514,2.631
75,20,-15,15.432,0,1.75,-2.058,8.824
75,20,-15,20.576,-2.058,1.75,0,5.568
75,20,-5,-20.576,0.514,1.75,2.058,-5.26
75,20,-5,-15.432,-1.543,0.6,-0.514,-2.142
75,20,-5,-10.288,1.029,-0.65,1.543,-1.838
75,20,-5,0,-0.514,1.75,-1.029,2.062
75,20,-5,5.144,2.058,1.75,1.029,2.659
75,20,-5,15.432,0,0.6,-1.543,5.562
75,20,-5,20.576,-2.058,-0.65,0.514,1.089
75,25,-85,-18.004,-0.514,1.75,-2.058,5.764
75,25,-85,-15.432,2.058,0.6,0,6.931
75,25,-85,-5.144,0,0.6,2.058,4.579
75,25,-85,5.144,-1.543,1.75,-0.514,7.389
75,25,-85,10.288,1.029,1.75,1.543,8.394
75,25,-85,18.004,-1.029,0.6,-1.029,12.012
75,25,-85,20.576,1.543,0.6,1.029,12.4
75,25,-75,-18.004,0,1.75,-1.543,5.449
75,25,-75,-10.288,-2.058,1.75,0.514,2.477
75,25,-75,-5.144,0.514,0.6,-2.058,10.986
75,25,-75,5.144,-1.543,0.6,0,6.415
75,25,-75,10.288,1.029,-0.65,2.058,7.592
75,25,-75,18.004,-0.514,1.75,-0.514,11.753
75,25,-75,20.576,2.058,1.75,1.543,12.139
75,25,-65,-18.004,0,0.6,-1.029,4.277
75,25,-65,-10.288,-2.058,-0.65,1.029,0.611
75,25,-65,-5.144,1.029,1.75,-1.543,10.799
75,25,-65,5.144,-1.029,1.75,0.514,6.177
75,25,-65,10.288,1.543,0.6,-2.058,16.704
75,25,-65,18.004,-0.514,-0.65,0,10.971
75,25,-55,-20.576,-2.058,1.75,2.058,-8.319
75,25,-55,-18.004,0.514,1.75,-0.514,3.782
75,25,-55,-10.288,-1.543,0.6,1.543,-0.059
75,25,-55,-5.144,1.029,-0.65,-1.029,7.604
75,25,-55,5.144,-0.514,1.75,1.029,5.795
75,25,-55,10.288,2.058,1.75,-1.543,16.118
75,25,-55,18.004,0,0.6,0.514,10.253
75,25,-45,-18.004,1.029,1.75,0,2.917
75,25,-45,-10.288,-1.029,1.75,2.058,-0.595
75,25,-45,-5.144,1.543,0.6,-0.514,7.262
75,25,-45,5.144,-0.514,0.6,1.543,3.105
75,25,-45,15.432,-2.058,1.75,-1.029,8.999
75,25,-45,18.004,0.514,1.75,1.029,9.661
75,25,-35,-20.576,-1.543,0.6,-1.543,-0.142
75,25,-35,-10.288,-0.514,1.75,-2.058,5.503
75,25,-35,-5.144,2.058,1.75,0,7.027
75,25,-35,5.144,0,1.75,2.058,2.889
75,25,-35,15.432,-2.058,0.6,-0.514,5.796
75,25,-35,18.004,0.514,-0.65,1.543,5.622
75,25,-25,-20.576,-1.029,1.75,-1.029,-0.469
75,25,-25,-18.004,1.543,1.75,1.029,-0.106
75,25,-25,-10.288,-0.514,0.6,-1.543,2.645
75,25,-25,-5.144,2.058,-0.65,0.514,2.813
75,25,-25,5.144,0.514,1.75,-2.058,8.207
75,25,-25,15.432,-1.543,1.75,0,5.51
75,25,-25,18.004,1.029,0.6,2.058,5.424
75,25,-15,-20.576,-1.029,-0.65,-0.514,-3.811
75,25,-15,-18.004,2.058,1.75,1.543,-1.333
75,25,-15,-10.288,0,1.75,-1.029,2.474
75,25,-15,0,-2.058,0.6,1.029,-2.96
75,25,-15,5.144,0.514,-0.65,-1.543,3.662
75,25,-15,15.432,-1.029,1.75,0.514,4.27
75,25,-15,18.004,1.543,1.75,-2.058,15.002
75,25,-5,-20.576,-0.514,0.6,0,-4.035
75,25,-5,-18.004,2.058,0.6,2.058,-3.65
75,25,-5,-10.288,0.514,1.75,-0.514,1.363
75,25,-5,0,-1.543,1.75,1.543,-3.031
75,25,-5,5.144,1.029,0.6,-1.029,3.617
75,25,-5,15.432,-1.029,0.6,1.029,1.17
75,25,-5,18.004,2.058,1.75,-1.543,13.662
75,30,-85,-18.004,-1.543,1.75,0.514,1.669
75,30,-85,-15.432,1.029,0.6,-2.058,11.138
75,30,-85,-5.144,-1.029,-0.65,0,7.036
75,30,-85,0,2.058,1.75,2.058,8.058
75,30,-85,10.288,0,1.75,-0.514,9.732
75,30,-85,18.004,-2.058,0.6,1.543,4.229
75,30,-85,20.576,0.514,-0.65,-1.029,14.957
75,30,-75,-18.004,-1.029,1.75,1.029,1.319
75,30,-75,-15.432,1.543,1.75,-1.543,10.932
75,30,-75,-5.144,-0.514,0.6,0.514,6.907
75,30,-75,10.288,0.514,1.75,0,9.456
75,30,-75,18.004,-1.543,1.75,2.058,3.939
75,30,-75,20.576,1.029,0.6,-0.514,14.705
75,30,-65,-18.004,-1.029,0.6,1.543,-0.391
75,30,-65,-15.432,2.058,1.75,-1.029,10.476
75,30,-65,-5.144,0,1.75,1.029,6.628
75,30,-65,5.144,-2.058,0.6,-1.543,8.038
75,30,-65,10.288,0.514,0.6,0.514,8.822
75,30,-65,18.004,-1.029,1.75,-2.058,13.311
75,30,-65,20.576,1.543,1.75,0,14.297
75,30,-55,-18.004,-0.514,1.75,2.058,-0.987
75,30,-55,-15.432,2.058,0.6,-0.514,7.928
75,30,-55,-5.144,0,-0.65,1.543,4.107
75,30,-55,5.144,-1.543,1.75,-1.029,7.627
75,30,-55,10.288,1.029,1.75,1.029,8.375
75,30,-55,18.004,-1.029,0.6,-1.543,11.889
75,30,-55,20.576,1.543,-0.65,0.514,11.457
75,30,-45,-18.004,0,1.75,-2.058,5.758
75,30,-45,-10.288,-2.058,1.75,0,2.985
75,30,-45,-5.144,0.514,0.6,2.058,3.66
75,30,-45,5.144,-1.543,-0.65,-0.514,4.323
75,30,-45,10.288,1.543,1.75,1.543,7.491
75,30,-45,18.004,-0.514,1.75,-1.029,11.218
75,30,-45,20.576,2.058,0.6,1.029,10.881
75,30,-35,-18.004,0,-0.65,-1.543,1.422
75,30,-35,-10.288,-1.543,1.75,0.514,1.662
75,30,-35,-5.144,1.029,1.75,-2.058,10.492
75,30,-35,5.144,-1.029,0.6,0,4.074
75,30,-35,10.288,1.543,0.6,2.058,4.988
75,30,-35,18.004,0,1.75,-0.514,9.69
75,30,-25,-20.576,-2.058,1.75,1.543,-8.626
75,30,-25,-18.004,0.514,0.6,-1.029,1.095
75,30,-25,-10.288,-1.543,0.6,1.029,-1.704
75,30,-25,-5.144,1.543,1.75,-1.543,9.227
75,30,-25,5.144,-0.514,1.75,0.514,3.806
75,30,-25,10.288,2.058,0.6,-2.058,14.409
75,30,-25,18.004,0,0.6,0,7.079
75,30,-15,-20.576,-2.058,-0.65,2.058,-14.241
75,30,-15,-18.004,1.029,1.75,-0.514,0.702
75,30,-15,-10.288,-1.029,1.75,1.543,-2.038
75,30,-15,-5.144,1.543,0.6,-1.029,5.388
75,30,-15,5.144,-0.514,-0.65,1.029,0.081
75,30,-15,15.432,-2.058,1.75,-1.543,6.292
75,30,-15,18.004,0.514,1.75,0.514,6.656
75,30,-5,-20.576,-1.543,0.6,-2.058,-2.793
75,30,-5,-18.004,1.029,-0.65,0,-3.142
75,30,-5,-10.288,-0.514,1.75,2.058,-3.275
75,30,-5,-5.144,2.058,1.75,-0.514,5.135
75,30,-5,5.144,0,0.6,1.543,-0.072
75,30,-5,15.432,-2.058,-0.65,-1.029,2.595
75,30,-5,18.004,1.029,1.75,1.029,5.28
